district_id,district_name
1,Республика Адыгея
2,Республика Алтай
3,Республика Башкортостан
4,Республика Башкортостан – Благовещенский
5,Республика Башкортостан – Белорецкий
6,Республика Башкортостан – Нефтекамский
7,Республика Башкортостан – Салаватский
8,Республика Башкортостан – Стерлитамакский
9,Республика Бурятия
10,Республика Дагестан
11,Республика Дагестан - Центральный
12,Республика Дагестан - Южный
13,Республика Ингушетия
14,Кабардино-Балкарская Республика
15,Республика Калмыкия
16,Карачаево-Черкесская Республика
17,Республика Карелия
18,Республика Коми
19,Республика Крым
20,Республика Крым – Керченский
21,Республика Крым – Евпаторийский
22,Республика Марий Эл
23,Республика Мордовия
24,Республика
25,Республика Северная Осетия – Алания
26,Республика Татарстан (Татарстан)
27,Республика Татарстан (Татарстан) – Московский
28,Республика Татарстан (Татарстан) – Нижнекамский
29,Республика Татарстан (Татарстан) – Набережно-Челнинский
30,Республика Татарстан (Татарстан) – Альметьевский
31,Республика Татарстан (Татарстан) – Центральный
32,Республика Тыва
33,Удмуртская Республика
34,Удмуртская Республика - Ижевский
35,Республика Хакасия
36,Чеченская Республика
37,Чувашская Республика – Чувашия
38,Чувашская Республика – Чувашия - Чебоксарский
39,Алтайский край
40,Алтайский край - Рубцовский
41,Алтайский край - Бийский
42,Алтайский край - Славгородский
43,Забайкальский край
44,Забайкальский край – Даурский
45,Камчатский край
46,Краснодарский край
47,Краснодарский край - Красноармейский
48,Краснодарский край - Славянский
49,Краснодарский край - Туапсинский
50,Краснодарский край - Сочинский
51,Краснодарский край - Тихорецкий
52,Краснодарский край - Армавирский
53,Краснодарский край - Каневской
54,Красноярский край
55,Красноярский край - Центральный
56,Красноярский край - Дивногорский
57,Красноярский край - Енисейский
58,Пермский край
59,Пермский край - Чусовской
60,Пермский край - Кунгурский
61,Пермский край - Кудымкарский
62,Приморский край
63,Приморский край - Артемовский
64,Приморский край - Арсеньевский
65,Ставропольский край
66,Ставропольский край - Невинномысский
67,Ставропольский край - Кавминводский
68,Ставропольский край - Георгиевский
69,Хабаровский край
