Город Москва – Кунцевский,
Бальмонт Борис Александрович,7150
Глек Игорь Владимирович,3599
Гончаров Кирилл Алексеевич,4897
Горшкова Владислава Геннадиевна,2962
Лобанов Михаил Сергеевич,26676
Меньшиков Михаил Васильевич,1704
Митина Дарья Александровна,2675
Попов Евгений Георгиевич,46589
Раменский Павел Олегович,6733
Соболев Алексей Анатольевич,1854
Тарнавский Александр Георгиевич,13421
,
,
Город Москва – Чертановский,
Барменков Евгений Валерьевич,5810
Баташев Анатолий Геннадьевич,2321
Буткеев Владимир Анатольевич,8246
Коршунков Владислав Сергеевич,5998
Крапухин Алексей Игоревич,3501
Начевский Михаил Владимирович,11177
Романенко Роман Юрьевич,56234
Смитиенко Степан Борисович,1790
Таранцов Михаил Александрович,21751
Таращанский Леонид Асирович,2624
Яцевский Артемий Андреевич,2551
,
Город Москва – Ленинградский,
Андрианова Зоя Алексеевна,6746
Балабуткин Алексей Алексеевич,3744
Брюханова Анастасия Андреевна,23359
Власов Василий Максимович,7320
Голуенко Алиса Владимировна,1912
Звягинцев Петр Семенович,11470
Катаев Виктор Филиппович,5352
Литвинович Марина Алексеевна,8513
Мельников Алексей Владимирович,4900
Тарбаев Сангаджи Андреевич,8432
Хованская Галина Петровна,38459
,
 Город Москва – Бабушкинский,
Баженов Тимофей Тимофеевич,55803
Вихарева Эльвира Владимировна,2925
Иванова Елена Ивановна,1037
Крюков Алексей Сергеевич,5604
Малинкович Сергей Александрович,2835
Миронова Виктория Александровна,6888
Рашкин Валерий Федорович,20729
Рвачев Алексей Сергеевич,6958
Стрельникова Елена Николаевна,2360
Тарасов Антон Александрович,2755
Федоров Георгий Владимирович,7213
Янков Кирилл Вадимович,4572
,
Город Москва – Люблинский,
Бадмаев Владимир Владимирович,3793
Балыкова Анна Григорьевна,4516
Гулина Зинаида Ивановна,1654
Гуличева Елена Геннадьевна,21336
Катков Валерий Семенович,4727
Киселёв Роман Денисович,3125
Кульнев Иван Анатольевич,6678
Прохоренкова Мария Андреевна,8299
Рашкин Валерий Владимирович,4442
Тарасов Денис Васильевич,1580
Толстой Петр Олегович,66558
Шах Андрей Викторович,5825
Шоладеми Самсон Бартоломиувич,2961
,
Город Москва – Медведковский,
Анисимкова Полина Николаевна,5379
Арбузов Андрей Александрович,1607
Бабушкин Андрей Владимирович,7703
Вельмакин Михаил Вадимович,3685
Загребной Юрий Леонтьевич,10033
Запотылок Евгений Васильевич,5945
Орлов Михаил Викторович,2227
Парфенов Денис Андреевич,23504
Певцов Дмитрий Анатольевич,52460
Степкин Евгений Валериевич,6812
,
 Город Москва – Нагатинский,
Абдуганиев Назиржон Насибжонович,1772
Бернев Владимир Владимирович,8279
Гаспарян Армен Сумбатович,8406
Демин Алексей Викторович,13426
Куликов Денис Павлович,3287
Разворотнева Светлана Викторовна,47733
Туманов Глеб Николаевич,4337
Удалова Анна Михайловна,2986
Удальцова Анастасия Олеговна,22303
Черников Станислав Валентинович,1758
,
 Город Москва – Новомосковский,
Андрусенко Наталия Юрьевна,6959
Богатов Сергей Владимирович,2665
Гершберг Евгения Игоревна,4212
Лапшов Алексей Сергеевич,8725
Махницкий Данил Павлович,25770
Михайловский Александр Всеволодович,9044
Муратова Юлия Валерьевна,4968
Придорожный Алексей Николаевич,1881
Саблин Дмитрий Вадимович        ,74145
